"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1007_s_at",0.944335216457569,11.2048724528727,12.7521923893949,6.73959856991313e-22,1.50178474933374e-17,39.2211740033141
"1053_at",1.24345554599748,9.41034371287559,11.9183788094572,3.17384068349156e-20,3.53613459751212e-16,35.4721288894633
"117_at",1.03526717267518,10.0963361924827,11.7671945942048,6.42760342741421e-20,4.77420957243569e-16,34.7846485957112
"121_at",1.01962477432751,10.3060697272812,11.4402777125417,2.97661222547213e-19,1.65819625550489e-15,33.2907050108715
"1255_g_at",0.992809409960599,9.42690722741209,11.2471069347476,7.39369465396787e-19,3.29507395948732e-15,32.4035118558963
"1294_at",0.966922905511572,10.9747856211522,11.0654368252376,1.74424633749052e-18,6.47784018971689e-15,31.5663473270852
"1316_at",0.867031419118743,9.71366638181181,10.9010871835439,3.79926591167921e-18,1.20941489014211e-14,30.8068198210813
"1320_at",1.07495385106264,10.6291488972274,10.7901517385652,6.43212947527225e-18,1.79158926371864e-14,30.2930454001492
"1405_i_at",0.877938954560221,9.88148202326923,10.7268286559558,8.6901143304065e-18,2.14993243161185e-14,29.9994024707261
"1431_at",0.898812448957124,10.037855179651,10.6941633179729,1.01501842410754e-17,2.14993243161185e-14,29.8478232790828
"1438_at",0.95140059579546,10.9244286568874,10.6847849437584,1.06131386024011e-17,2.14993243161185e-14,29.8042914735253
"1487_at",0.964647404191769,9.36959350213196,10.5086847169087,2.45451904257809e-17,4.55783731881396e-14,28.9858741682957
"1494_f_at",0.825807660568424,9.82075499007802,10.4645213206455,3.02969690329529e-17,5.02839641078332e-14,28.7803401436593
"1598_g_at",0.957647828166177,10.1848821130465,10.4557403871702,3.15924919225268e-17,5.02839641078332e-14,28.7394611237949
"160020_at",1.20624277910935,9.12350901519338,10.428586733629,3.59606945580477e-17,5.10810097727887e-14,28.6130223335842
"1729_at",0.980000857825802,9.39776153452868,10.416860523306,3.8029616653885e-17,5.10810097727887e-14,28.5584077743291
"1773_at",0.942988191793031,10.6947827897985,10.4117383786032,3.8970388463735e-17,5.10810097727887e-14,28.5345491768999
"177_at",0.916641537332706,11.62646020854,10.3503463900678,5.22370947302613e-17,5.81699320125357e-14,28.2484816345053
"179_at",0.876118820588793,6.48290483885128,10.341500554242,5.44903847420876e-17,5.81699320125357e-14,28.2072466893563
"1861_at",0.928752202670094,9.51498821729269,10.340623121646,5.47191347320221e-17,5.81699320125357e-14,28.2031563121133
"200000_s_at",0.877541145062519,9.67378875117051,10.3402349043693,5.48206512706211e-17,5.81699320125357e-14,28.2013465251694
"200001_at",1.08651170441173,9.37970274373424,10.2906799734464,6.94578756327411e-17,6.54738960843031e-14,27.9702699341735
"200002_at",0.8318130151388,5.68186553865869,10.288394571809,7.02202900278356e-17,6.54738960843031e-14,27.9596100917953
"200003_s_at",0.810808639150534,10.1424246311804,10.277057967128,7.41279860709951e-17,6.54738960843031e-14,27.9067288048304
"200004_at",0.916967051126493,10.283156968326,10.272312723071,7.58276690483632e-17,6.54738960843031e-14,27.8845920631919
"200005_at",0.852285026615092,7.23596607615043,10.2707511040227,7.63955166805135e-17,6.54738960843031e-14,27.8773068152431
"200006_at",0.988223336264662,9.62852420077566,10.2624907689825,7.94708449836773e-17,6.5586994028566e-14,27.8387688514985
"200007_at",0.987414030961809,10.7973578946801,10.2473358609877,8.54392118426905e-17,6.79943556246669e-14,27.768056359343
"200008_s_at",0.862328930289885,9.98804608331585,10.2334715193493,9.12919060287258e-17,7.01468117944172e-14,27.7033561764793
"200009_at",1.05532987884809,9.74025442060118,10.1931598683256,1.10692508532721e-16,8.02012607885276e-14,27.5151851380333
"200010_at",0.752937260399028,11.2497212809897,10.1914323844612,1.11610513142622e-16,8.02012607885276e-14,27.507119762173
"200011_s_at",0.677890045171692,9.65242530464301,10.1844591740563,1.15394346669969e-16,8.02012607885276e-14,27.4745614862831
"200012_x_at",0.813694231650075,10.0949100591595,10.1724741171689,1.22200439988047e-16,8.02012607885276e-14,27.4185976176192
"200013_at",1.01225796417719,10.476620991936,10.1721786106359,1.2237323819997e-16,8.02012607885276e-14,27.4172176788365
"200014_s_at",1.2125799146284,8.36494138899096,10.1600207531299,1.29698867995935e-16,8.25737107300979e-14,27.3604403392504
"200015_s_at",0.938685518030505,9.69398590598176,10.1343972637407,1.46608815130318e-16,9.07467840985797e-14,27.2407574897406
"200016_x_at",1.00646785079626,5.56965515016508,10.1060938558444,1.6786631334852e-16,9.96378806711096e-14,27.1085250614359
"200017_at",0.896902968266895,10.2326948126217,10.1035571858252,1.69916055535707e-16,9.96378806711096e-14,27.0966722212699
"200018_at",0.890357747959792,10.1317208318988,10.0929098317164,1.78796644835567e-16,1.02015428830224e-13,27.0469185547982
"200019_s_at",1.20211401835843,4.60463995823692,10.0879087214763,1.83126919768835e-16,1.02015428830224e-13,27.0235474507765
"200020_at",0.925751720606137,10.1521193494602,10.0733582026439,1.96332398326683e-16,1.06704264193012e-13,26.9555445216379
"200021_at",0.903631762728072,5.91677652751123,10.064134551129,2.05193160177424e-16,1.07473708934984e-13,26.9124327624182
"200022_at",0.953828209736078,9.91128134719802,10.0619050301864,2.07394403096725e-16,1.07473708934984e-13,26.9020113814727
"200023_s_at",0.829603668946673,7.71120578762515,10.0509793152151,2.18528311679032e-16,1.09289106503589e-13,26.8509388558417
"200024_at",0.810104724858607,10.2022139584108,10.0489069029096,2.20706807551115e-16,1.09289106503589e-13,26.8412507926381
"200025_s_at",1.15603668414786,8.92763570740313,10.0332395592258,2.37895536948878e-16,1.15239701083301e-13,26.7680041599753
